wage,exper,union,service,educ,looks,sex,race,status,health
5.73000001907349,30,no,yes,14,4,female,white,married,yes
4.28000020980835,28,no,no,12,3,female,white,married,yes
7.96000003814697,35,no,no,10,4,female,white,single,yes
11.5699996948242,38,no,yes,16,3,male,white,married,yes
11.4200000762939,27,no,no,16,3,male,white,married,yes
3.91000008583069,20,no,no,12,3,female,white,married,no
8.76000022888184,12,no,no,16,3,male,white,married,yes
7.69000005722046,5,yes,no,16,4,male,white,single,yes
5.0,5,no,no,16,3,female,white,single,yes
3.89000010490417,12,no,no,12,3,female,white,single,yes
3.45000004768372,3,no,no,12,4,female,white,single,yes
4.03000020980835,6,no,no,16,4,male,white,married,yes
5.1399998664856,19,no,yes,17,2,male,white,married,yes
3.0,8,no,yes,16,3,male,white,single,yes
7.98999977111816,12,no,no,16,4,male,white,married,yes
6.01000022888184,17,no,no,16,4,male,white,married,yes
5.15999984741211,7,no,no,17,3,male,white,married,yes
11.539999961853,12,no,yes,17,4,male,white,married,yes
10.4399995803833,10,no,no,17,4,female,white,single,yes
7.69000005722046,7,no,yes,16,3,female,white,married,yes
7.69000005722046,7,yes,no,17,4,male,white,single,yes
6.78999996185303,19,no,yes,14,3,male,white,married,yes
6.86999988555908,33,no,yes,12,3,male,white,married,yes
17.0300006866455,32,no,no,13,3,male,white,married,yes
10.0500001907349,12,no,no,13,4,male,white,married,yes
15.8100004196167,24,no,yes,17,4,male,white,married,yes
14.8400001525879,29,no,yes,13,5,male,white,single,yes
19.0799999237061,17,no,no,17,5,male,white,single,yes
8.35000038146973,41,no,yes,16,1,male,white,married,no
9.61999988555908,40,no,no,16,3,male,white,married,no
5.96000003814697,10,no,no,14,3,male,white,married,yes
5.73000001907349,43,no,no,10,3,male,white,married,no
6.73000001907349,41,no,no,10,4,male,white,married,yes
8.17000007629395,18,no,no,16,2,male,white,married,yes
12.3900003433228,28,no,no,12,4,male,white,married,yes
9.61999988555908,37,no,no,13,2,male,white,married,yes
4.82999992370605,20,no,no,16,4,male,black,married,yes
